LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[Ano];LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[Mês];LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[MonthNo];LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[Dia];[Quantidade_Distinta_de_Pedidos]
2020;novembro;11;25;164
2020;novembro;11;26;23
2020;novembro;11;27;123
2020;novembro;11;30;84
2020;dezembro;12;1;139
2020;dezembro;12;2;151
2020;dezembro;12;3;31
2020;dezembro;12;4;115
2020;dezembro;12;7;53
2020;dezembro;12;8;157
2020;dezembro;12;9;180
2020;dezembro;12;10;20
2020;dezembro;12;11;134
2020;dezembro;12;14;70
2020;dezembro;12;15;136
2020;dezembro;12;16;157
2020;dezembro;12;17;26
2020;dezembro;12;18;151
2020;dezembro;12;21;148
2020;dezembro;12;22;146
2020;dezembro;12;23;102
2020;dezembro;12;24;23
2020;dezembro;12;28;179
2020;dezembro;12;29;119
2020;dezembro;12;30;69
2020;dezembro;12;31;7
2021;janeiro;1;4;52
2021;janeiro;1;5;139
2021;janeiro;1;6;127
2021;janeiro;1;7;16
2021;janeiro;1;8;91
2021;janeiro;1;11;67
2021;janeiro;1;12;110
2021;janeiro;1;13;148
2021;janeiro;1;14;30
2021;janeiro;1;15;121
2021;janeiro;1;18;71
2021;janeiro;1;19;129
2021;janeiro;1;20;155
2021;janeiro;1;21;19
2021;janeiro;1;22;105
2021;janeiro;1;25;58
2021;janeiro;1;26;116
2021;janeiro;1;27;151
2021;janeiro;1;28;22
2021;janeiro;1;29;149
2021;fevereiro;2;1;63
2021;fevereiro;2;2;108
2021;fevereiro;2;3;132
2021;fevereiro;2;4;18
2021;fevereiro;2;5;106
2021;fevereiro;2;8;121
2021;fevereiro;2;9;149
2021;fevereiro;2;10;38
2021;fevereiro;2;11;42
2021;fevereiro;2;12;98
2021;fevereiro;2;15;122
2021;fevereiro;2;16;160
2021;fevereiro;2;17;21
2021;fevereiro;2;18;22
2021;fevereiro;2;19;106
2021;fevereiro;2;22;129
2021;fevereiro;2;23;118
2021;fevereiro;2;24;74
2021;fevereiro;2;25;26
2021;fevereiro;2;26;89
2021;março;3;1;23
2021;março;3;2;239
2021;março;3;3;36
2021;março;3;4;23
2021;março;3;5;95
2021;março;3;8;113
2021;março;3;9;99
2021;março;3;10;99
2021;março;3;11;32
2021;março;3;12;103
2021;março;3;15;101
2021;março;3;16;130
2021;março;3;17;94
2021;março;3;18;106
2021;março;3;22;62
2021;março;3;23;118
2021;março;3;24;142
2021;março;3;25;11
2021;março;3;26;104
2021;março;3;29;159
2021;março;3;30;97
2021;março;3;31;34
2021;abril;4;1;101
2021;abril;4;5;69
2021;abril;4;6;107
2021;abril;4;7;121
2021;abril;4;8;24
2021;abril;4;9;94
2021;abril;4;12;48
2021;abril;4;13;135
2021;abril;4;14;137
2021;abril;4;15;24
2021;abril;4;16;102
2021;abril;4;19;116
2021;abril;4;20;153
2021;abril;4;22;38
2021;abril;4;23;115
2021;abril;4;26;49
2021;abril;4;27;125
2021;abril;4;28;162
2021;abril;4;29;10
2021;abril;4;30;105
2021;maio;5;3;55
2021;maio;5;4;97
2021;maio;5;5;129
2021;maio;5;6;28
2021;maio;5;7;88
2021;maio;5;10;67
2021;maio;5;11;119
2021;maio;5;12;164
2021;maio;5;13;18
2021;maio;5;14;110
2021;maio;5;17;55
2021;maio;5;18;125
2021;maio;5;19;140
2021;maio;5;20;14
2021;maio;5;21;91
2021;maio;5;24;73
2021;maio;5;25;105
2021;maio;5;26;171
2021;maio;5;28;108
2021;maio;5;31;70
2021;junho;6;1;232
2021;junho;6;2;25
2021;junho;6;4;105
2021;junho;6;7;62
2021;junho;6;8;210
2021;junho;6;9;48
2021;junho;6;10;1
2021;junho;6;11;114
2021;junho;6;14;121
2021;junho;6;15;160
2021;junho;6;16;29
2021;junho;6;17;13
2021;junho;6;18;95
2021;junho;6;21;105
2021;junho;6;22;162
2021;junho;6;23;54
2021;junho;6;24;28
2021;junho;6;25;102
2021;junho;6;28;129
2021;junho;6;29;109
2021;junho;6;30;74
2021;julho;7;1;18
2021;julho;7;2;107
2021;julho;7;5;83
2021;julho;7;6;230
2021;julho;7;7;40
2021;julho;7;8;2
2021;julho;7;9;126
2021;julho;7;12;115
2021;julho;7;13;176
2021;julho;7;14;53
2021;julho;7;15;27
2021;julho;7;16;79
2021;julho;7;19;100
2021;julho;7;20;107
2021;julho;7;21;140
2021;julho;7;22;16
2021;julho;7;23;108
2021;julho;7;26;92
2021;julho;7;27;108
2021;julho;7;28;120
2021;julho;7;29;19
2021;julho;7;30;123
2021;agosto;8;2;56
2021;agosto;8;3;114
2021;agosto;8;4;160
2021;agosto;8;5;9
2021;agosto;8;6;105
2021;agosto;8;9;80
2021;agosto;8;10;160
2021;agosto;8;11;121
2021;agosto;8;12;29
2021;agosto;8;13;94
2021;agosto;8;16;83
2021;agosto;8;17;177
2021;agosto;8;18;97
2021;agosto;8;19;11
2021;agosto;8;20;109
2021;agosto;8;23;64
2021;agosto;8;24;120
2021;agosto;8;25;130
2021;agosto;8;26;2
2021;agosto;8;27;118
2021;agosto;8;30;72
2021;agosto;8;31;193
2021;setembro;9;1;114
2021;setembro;9;2;20
2021;setembro;9;3;124
2021;setembro;9;6;145
2021;setembro;9;8;129
2021;setembro;9;9;39
2021;setembro;9;10;107
2021;setembro;9;13;54
2021;setembro;9;14;201
2021;setembro;9;15;88
2021;setembro;9;16;67
2021;setembro;9;17;104
2021;setembro;9;21;206
2021;setembro;9;22;32
2021;setembro;9;23;29
2021;setembro;9;24;88
2021;setembro;9;27;55
2021;setembro;9;28;195
2021;setembro;9;29;88
2021;setembro;9;30;24
2021;outubro;10;1;85
2021;outubro;10;4;65
2021;outubro;10;5;156
2021;outubro;10;6;121
2021;outubro;10;7;27
2021;outubro;10;8;105
2021;outubro;10;11;153
2021;outubro;10;13;177
2021;outubro;10;14;39
2021;outubro;10;15;98
2021;outubro;10;18;76
2021;outubro;10;19;124
2021;outubro;10;20;146
2021;outubro;10;21;16
2021;outubro;10;22;111
2021;outubro;10;25;70
2021;outubro;10;26;124
2021;outubro;10;27;144
2021;outubro;10;28;19
2021;outubro;10;29;104
2021;novembro;11;1;148
2021;novembro;11;3;145
2021;novembro;11;4;24
2021;novembro;11;5;96
2021;novembro;11;8;131
2021;novembro;11;9;141
2021;novembro;11;10;168
2021;novembro;11;11;33
2021;novembro;11;12;130
2021;novembro;11;16;154
2021;novembro;11;17;191
2021;novembro;11;18;124
2021;novembro;11;19;106
2021;novembro;11;22;54
2021;novembro;11;23;123
2021;novembro;11;24;164
2021;novembro;11;25;6
2021;novembro;11;26;108
2021;novembro;11;29;88
2021;novembro;11;30;115
2021;dezembro;12;1;122
2021;dezembro;12;2;12
2021;dezembro;12;3;96
2021;dezembro;12;6;95
2021;dezembro;12;7;126
2021;dezembro;12;8;148
2021;dezembro;12;9;20
2021;dezembro;12;10;99
2021;dezembro;12;13;80
2021;dezembro;12;14;125
2021;dezembro;12;15;140
2021;dezembro;12;16;13
2021;dezembro;12;17;97
2021;dezembro;12;20;149
2021;dezembro;12;21;93
2021;dezembro;12;22;95
2021;dezembro;12;23;99
2021;dezembro;12;27;195
2021;dezembro;12;28;44
2021;dezembro;12;29;90
2021;dezembro;12;30;4
2022;janeiro;1;3;57
2022;janeiro;1;4;99
2022;janeiro;1;5;133
2022;janeiro;1;6;9
2022;janeiro;1;7;85
2022;janeiro;1;10;40
2022;janeiro;1;11;126
2022;janeiro;1;12;137
2022;janeiro;1;13;25
2022;janeiro;1;14;99
2022;janeiro;1;17;61
2022;janeiro;1;18;109
2022;janeiro;1;19;153
2022;janeiro;1;20;9
2022;janeiro;1;21;110
2022;janeiro;1;24;125
2022;janeiro;1;25;29
2022;janeiro;1;26;132
2022;janeiro;1;27;14
2022;janeiro;1;28;90
2022;janeiro;1;31;43
2022;fevereiro;2;1;109
2022;fevereiro;2;2;149
2022;fevereiro;2;3;11
2022;fevereiro;2;4;104
2022;fevereiro;2;7;65
2022;fevereiro;2;8;106
2022;fevereiro;2;9;138
2022;fevereiro;2;10;32
2022;fevereiro;2;11;96
2022;fevereiro;2;14;108
2022;fevereiro;2;15;84
2022;fevereiro;2;16;106
2022;fevereiro;2;17;108
2022;fevereiro;2;18;102
2022;fevereiro;2;21;86
2022;fevereiro;2;22;95
2022;fevereiro;2;23;148
2022;fevereiro;2;24;9
2022;fevereiro;2;25;97
2022;fevereiro;2;28;94
2022;março;3;1;80
2022;março;3;2;143
2022;março;3;3;14
2022;março;3;4;131
2022;março;3;7;65
2022;março;3;8;96
2022;março;3;9;119
2022;março;3;10;4
2022;março;3;11;98
2022;março;3;14;121
2022;março;3;15;103
2022;março;3;16;98
2022;março;3;17;10
2022;março;3;18;94
2022;março;3;21;40
2022;março;3;22;143
2022;março;3;23;142
2022;março;3;24;28
2022;março;3;25;91
2022;março;3;28;59
2022;março;3;29;129
2022;março;3;30;132
2022;março;3;31;16
2022;abril;4;1;105
2022;abril;4;4;61
2022;abril;4;5;97
2022;abril;4;6;142
2022;abril;4;7;24
2022;abril;4;8;109
2022;abril;4;11;71
2022;abril;4;12;129
2022;abril;4;13;136
2022;abril;4;14;141
2022;abril;4;18;57
2022;abril;4;19;118
2022;abril;4;20;108
2022;abril;4;22;96
2022;abril;4;25;77
2022;abril;4;26;124
2022;abril;4;27;105
2022;abril;4;28;10
2022;abril;4;29;102
2022;maio;5;2;62
2022;maio;5;3;99
2022;maio;5;4;130
2022;maio;5;5;13
2022;maio;5;6;146
2022;maio;5;9;77
2022;maio;5;10;114
2022;maio;5;11;142
2022;maio;5;12;24
2022;maio;5;13;99
2022;maio;5;16;73
2022;maio;5;17;102
2022;maio;5;18;129
2022;maio;5;19;16
2022;maio;5;20;112
2022;maio;5;23;83
2022;maio;5;24;92
2022;maio;5;25;134
2022;maio;5;26;14
2022;maio;5;27;104
2022;maio;5;30;66
2022;maio;5;31;93
2022;junho;6;1;130
2022;junho;6;2;10
2022;junho;6;3;105
2022;junho;6;6;96
2022;junho;6;7;122
2022;junho;6;8;123
2022;junho;6;9;14
2022;junho;6;10;107
2022;junho;6;13;60
2022;junho;6;14;121
2022;junho;6;15;104
2022;junho;6;17;99
2022;junho;6;20;64
2022;junho;6;21;174
2022;junho;6;22;76
2022;junho;6;23;20
2022;junho;6;24;92
2022;junho;6;27;54
2022;junho;6;28;106
2022;junho;6;29;111
2022;junho;6;30;9
2022;julho;7;1;89
2022;julho;7;4;81
2022;julho;7;5;132
2022;julho;7;6;135
2022;julho;7;7;17
2022;julho;7;8;116
2022;julho;7;11;63
2022;julho;7;12;82
2022;julho;7;13;124
2022;julho;7;14;14
2022;julho;7;15;95
2022;julho;7;18;73
2022;julho;7;19;91
2022;julho;7;20;132
2022;julho;7;21;9
2022;julho;7;22;107
2022;julho;7;25;65
2022;julho;7;26;91
2022;julho;7;27;133
2022;julho;7;28;8
2022;julho;7;29;107
2022;agosto;8;1;63
2022;agosto;8;2;105
2022;agosto;8;3;125
2022;agosto;8;4;5
2022;agosto;8;5;107
2022;agosto;8;8;96
2022;agosto;8;9;97
2022;agosto;8;10;111
2022;agosto;8;11;5
2022;agosto;8;12;124
2022;agosto;8;15;63
2022;agosto;8;16;89
2022;agosto;8;17;131
2022;agosto;8;18;18
2022;agosto;8;19;95
2022;agosto;8;22;63
2022;agosto;8;23;85
2022;agosto;8;24;126
2022;agosto;8;25;7
2022;agosto;8;26;86
2022;agosto;8;29;73
2022;agosto;8;30;100
2022;agosto;8;31;129
2022;setembro;9;1;2
2022;setembro;9;2;110
2022;setembro;9;5;134
2022;setembro;9;6;136
2022;setembro;9;8;58
2022;setembro;9;9;106
2022;setembro;9;12;60
2022;setembro;9;13;102
2022;setembro;9;14;133
2022;setembro;9;15;19
2022;setembro;9;16;117
2022;setembro;9;19;127
2022;setembro;9;21;116
2022;setembro;9;22;8
2022;setembro;9;23;111
2022;setembro;9;26;67
2022;setembro;9;27;87
2022;setembro;9;28;144
2022;setembro;9;29;9
2022;setembro;9;30;94
2022;outubro;10;3;53
2022;outubro;10;4;71
2022;outubro;10;5;142
2022;outubro;10;6;47
2022;outubro;10;7;118
2022;outubro;10;10;146
2022;outubro;10;11;144
2022;outubro;10;13;40
2022;outubro;10;14;110
2022;outubro;10;17;59
2022;outubro;10;18;90
2022;outubro;10;19;147
2022;outubro;10;20;23
2022;outubro;10;21;96
2022;outubro;10;24;62
2022;outubro;10;25;101
2022;outubro;10;26;112
2022;outubro;10;27;14
2022;outubro;10;28;92
2022;outubro;10;31;105
2022;novembro;11;1;145
2022;novembro;11;3;13
2022;novembro;11;4;116
2022;novembro;11;7;59
2022;novembro;11;8;89
2022;novembro;11;9;126
2022;novembro;11;10;49
2022;novembro;11;11;105
2022;novembro;11;14;125
2022;novembro;11;16;116
2022;novembro;11;17;17
2022;novembro;11;18;100
2022;novembro;11;21;108
2022;novembro;11;22;109
2022;novembro;11;23;52
2022;novembro;11;24;10
2022;novembro;11;25;129
2022;novembro;11;28;69
2022;novembro;11;29;74
2022;novembro;11;30;126
2022;dezembro;12;1;12
2022;dezembro;12;2;101
2022;dezembro;12;5;68
2022;dezembro;12;6;94
2022;dezembro;12;7;123
2022;dezembro;12;8;14
2022;dezembro;12;9;109
2022;dezembro;12;12;62
2022;dezembro;12;13;97
2022;dezembro;12;14;131
2022;dezembro;12;15;19
2022;dezembro;12;16;101
2022;dezembro;12;19;73
2022;dezembro;12;20;88
2022;dezembro;12;21;131
2022;dezembro;12;22;12
2022;dezembro;12;23;95
2022;dezembro;12;26;55
2022;dezembro;12;27;73
2022;dezembro;12;28;110
2022;dezembro;12;29;10
2022;dezembro;12;30;71
2023;janeiro;1;2;91
2023;janeiro;1;3;98
2023;janeiro;1;4;40
2023;janeiro;1;5;10
2023;janeiro;1;6;99
2023;janeiro;1;9;105
2023;janeiro;1;10;96
2023;janeiro;1;11;58
2023;janeiro;1;12;23
2023;janeiro;1;13;99
2023;janeiro;1;16;86
2023;janeiro;1;17;85
2023;janeiro;1;18;93
2023;janeiro;1;19;17
2023;janeiro;1;20;92
2023;janeiro;1;23;67
2023;janeiro;1;24;86
2023;janeiro;1;25;85
2023;janeiro;1;26;19
2023;janeiro;1;27;86
2023;janeiro;1;30;43
2023;janeiro;1;31;106
2023;fevereiro;2;1;131
2023;fevereiro;2;2;2
2023;fevereiro;2;3;110
2023;fevereiro;2;6;58
2023;fevereiro;2;7;85
2023;fevereiro;2;8;133
2023;fevereiro;2;9;14
2023;fevereiro;2;10;103
2023;fevereiro;2;13;72
2023;fevereiro;2;14;92
2023;fevereiro;2;15;137
2023;fevereiro;2;16;9
2023;fevereiro;2;17;108
2023;fevereiro;2;20;80
2023;fevereiro;2;21;31
2023;fevereiro;2;22;129
2023;fevereiro;2;23;8
2023;fevereiro;2;24;103
2023;fevereiro;2;27;73
2023;fevereiro;2;28;87
2023;março;3;1;114
2023;março;3;2;9
2023;março;3;3;109
2023;março;3;6;65
2023;março;3;7;76
2023;março;3;8;143
2023;março;3;9;9
2023;março;3;10;114
2023;março;3;13;68
2023;março;3;14;110
2023;março;3;15;130
2023;março;3;16;52
2023;março;3;17;117
2023;março;3;20;68
2023;março;3;21;85
2023;março;3;22;118
2023;março;3;23;8
2023;março;3;24;104
2023;março;3;27;53
2023;março;3;28;86
2023;março;3;29;131
2023;março;3;30;5
2023;março;3;31;99
2023;abril;4;3;60
2023;abril;4;4;97
2023;abril;4;5;138
2023;abril;4;6;115
2023;abril;4;10;71
2023;abril;4;11;105
2023;abril;4;12;153
2023;abril;4;13;54
2023;abril;4;14;93
2023;abril;4;17;65
2023;abril;4;18;80
2023;abril;4;19;132
2023;abril;4;20;110
2023;abril;4;24;72
2023;abril;4;25;93
2023;abril;4;26;141
2023;abril;4;27;23
2023;abril;4;28;127
2023;maio;5;2;122
2023;maio;5;3;139
2023;maio;5;4;16
2023;maio;5;5;123
2023;maio;5;8;58
2023;maio;5;9;106
2023;maio;5;10;141
2023;maio;5;11;16
2023;maio;5;12;117
2023;maio;5;15;62
2023;maio;5;16;90
2023;maio;5;17;130
2023;maio;5;18;75
2023;maio;5;19;87
2023;maio;5;22;67
2023;maio;5;23;116
2023;maio;5;24;120
2023;maio;5;25;31
2023;maio;5;26;95
2023;maio;5;29;70
2023;maio;5;30;104
2023;maio;5;31;111
2023;junho;6;1;11
2023;junho;6;2;196
2023;junho;6;5;76
2023;junho;6;6;127
2023;junho;6;7;105
2023;junho;6;9;146
2023;junho;6;12;57
2023;junho;6;13;112
2023;junho;6;14;125
2023;junho;6;15;69
2023;junho;6;16;105
2023;junho;6;19;130
2023;junho;6;20;207
2023;junho;6;21;34
2023;junho;6;22;1
2023;junho;6;23;133
2023;junho;6;26;97
2023;junho;6;27;91
2023;junho;6;28;97
2023;junho;6;29;64
2023;junho;6;30;89
2023;julho;7;3;61
2023;julho;7;4;123
2023;julho;7;5;120
2023;julho;7;6;12
2023;julho;7;7;109
2023;julho;7;10;62
2023;julho;7;11;84
2023;julho;7;12;140
2023;julho;7;13;18
2023;julho;7;14;124
2023;julho;7;17;66
2023;julho;7;18;106
2023;julho;7;19;129
2023;julho;7;20;17
2023;julho;7;21;109
2023;julho;7;24;55
2023;julho;7;25;84
2023;julho;7;26;123
2023;julho;7;27;72
2023;julho;7;28;117
2023;julho;7;31;69
2023;agosto;8;1;102
2023;agosto;8;2;124
2023;agosto;8;3;9
2023;agosto;8;4;110
2023;agosto;8;7;62
2023;agosto;8;8;136
2023;agosto;8;9;127
2023;agosto;8;10;11
2023;agosto;8;11;110
2023;agosto;8;14;88
2023;agosto;8;15;80
2023;agosto;8;16;105
2023;agosto;8;17;7
2023;agosto;8;18;108
2023;agosto;8;21;120
2023;agosto;8;22;169
2023;agosto;8;23;35
2023;agosto;8;24;21
2023;agosto;8;25;100
2023;agosto;8;28;66
2023;agosto;8;29;99
2023;agosto;8;30;137
2023;agosto;8;31;19
2023;setembro;9;1;167
2023;setembro;9;4;64
2023;setembro;9;5;110
2023;setembro;9;6;111
2023;setembro;9;8;110
2023;setembro;9;11;62
2023;setembro;9;12;89
2023;setembro;9;13;146
2023;setembro;9;14;10
2023;setembro;9;15;173
2023;setembro;9;18;145
2023;setembro;9;19;118
2023;setembro;9;21;9
2023;setembro;9;22;103
2023;setembro;9;25;151
2023;setembro;9;26;147
2023;setembro;9;27;56
2023;setembro;9;28;22
2023;setembro;9;29;108
2023;outubro;10;2;61
2023;outubro;10;3;90
2023;outubro;10;4;112
2023;outubro;10;5;19
2023;outubro;10;6;108
2023;outubro;10;9;108
2023;outubro;10;10;106
2023;outubro;10;11;84
2023;outubro;10;13;101
2023;outubro;10;16;116
2023;outubro;10;17;88
2023;outubro;10;18;134
2023;outubro;10;19;8
2023;outubro;10;20;106
2023;outubro;10;23;81
2023;outubro;10;24;84
2023;outubro;10;25;135
2023;outubro;10;26;16
2023;outubro;10;27;123
2023;outubro;10;30;115
2023;outubro;10;31;96
2023;novembro;11;1;72
2023;novembro;11;3;154
2023;novembro;11;6;71
2023;novembro;11;7;104
2023;novembro;11;8;124
2023;novembro;11;9;17
2023;novembro;11;10;99
2023;novembro;11;13;104
2023;novembro;11;14;109
