LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[Ano];LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[Mês];LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[MonthNo];LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[Dia];[Quantidade_Distinta_de_Pedidos]
2018;janeiro;1;2;164
2018;janeiro;1;3;115
2018;janeiro;1;4;126
2018;janeiro;1;5;97
2018;janeiro;1;7;1
2018;janeiro;1;8;33
2018;janeiro;1;9;116
2018;janeiro;1;10;100
2018;janeiro;1;11;70
2018;janeiro;1;12;97
2018;janeiro;1;13;3
2018;janeiro;1;15;74
2018;janeiro;1;16;137
2018;janeiro;1;17;70
2018;janeiro;1;18;102
2018;janeiro;1;19;43
2018;janeiro;1;22;56
2018;janeiro;1;23;144
2018;janeiro;1;24;16
2018;janeiro;1;25;80
2018;janeiro;1;26;56
2018;janeiro;1;27;1
2018;janeiro;1;29;86
2018;janeiro;1;30;142
2018;janeiro;1;31;83
2018;fevereiro;2;1;32
2018;fevereiro;2;2;44
2018;fevereiro;2;4;4
2018;fevereiro;2;5;28
2018;fevereiro;2;6;132
2018;fevereiro;2;7;105
2018;fevereiro;2;8;101
2018;fevereiro;2;9;101
2018;fevereiro;2;12;6
2018;fevereiro;2;13;116
2018;fevereiro;2;14;42
2018;fevereiro;2;15;121
2018;fevereiro;2;16;58
2018;fevereiro;2;18;2
2018;fevereiro;2;19;41
2018;fevereiro;2;20;117
2018;fevereiro;2;21;87
2018;fevereiro;2;22;125
2018;fevereiro;2;23;86
2018;fevereiro;2;24;2
2018;fevereiro;2;26;75
2018;fevereiro;2;27;144
2018;fevereiro;2;28;104
2018;março;3;1;81
2018;março;3;2;55
2018;março;3;4;2
2018;março;3;5;30
2018;março;3;6;116
2018;março;3;7;71
2018;março;3;8;132
2018;março;3;9;79
2018;março;3;10;1
2018;março;3;11;1
2018;março;3;12;47
2018;março;3;13;129
2018;março;3;14;113
2018;março;3;15;99
2018;março;3;16;73
2018;março;3;17;1
2018;março;3;18;4
2018;março;3;19;32
2018;março;3;20;108
2018;março;3;21;124
2018;março;3;22;116
2018;março;3;23;67
2018;março;3;24;5
2018;março;3;26;70
2018;março;3;27;136
2018;março;3;28;95
2018;março;3;29;91
2018;março;3;30;1
2018;abril;4;2;26
2018;abril;4;3;118
2018;abril;4;4;96
2018;abril;4;5;90
2018;abril;4;6;589
2018;abril;4;9;62
2018;abril;4;10;146
2018;abril;4;11;130
2018;abril;4;12;44
2018;abril;4;13;50
2018;abril;4;16;31
2018;abril;4;17;161
2018;abril;4;18;116
2018;abril;4;19;76
2018;abril;4;20;67
2018;abril;4;21;1
2018;abril;4;22;2
2018;abril;4;23;76
2018;abril;4;24;163
2018;abril;4;25;96
2018;abril;4;26;49
2018;abril;4;27;112
2018;abril;4;30;143
2018;maio;5;2;65
2018;maio;5;3;58
2018;maio;5;4;58
2018;maio;5;6;3
2018;maio;5;7;56
2018;maio;5;8;187
2018;maio;5;9;131
2018;maio;5;10;66
2018;maio;5;11;47
2018;maio;5;12;7
2018;maio;5;14;60
2018;maio;5;15;161
2018;maio;5;16;82
2018;maio;5;17;51
2018;maio;5;18;56
2018;maio;5;19;1
2018;maio;5;21;65
2018;maio;5;22;279
2018;maio;5;23;96
2018;maio;5;24;43
2018;maio;5;25;64
2018;maio;5;26;1
2018;maio;5;28;27
2018;maio;5;29;39
2018;maio;5;30;32
2018;junho;6;1;71
2018;junho;6;2;1
2018;junho;6;3;1
2018;junho;6;4;63
2018;junho;6;5;157
2018;junho;6;6;22
2018;junho;6;7;100
2018;junho;6;8;63
2018;junho;6;9;2
2018;junho;6;11;71
2018;junho;6;12;174
2018;junho;6;13;81
2018;junho;6;14;57
2018;junho;6;15;63
2018;junho;6;18;73
2018;junho;6;19;138
2018;junho;6;20;64
2018;junho;6;21;55
2018;junho;6;22;50
2018;junho;6;24;1
2018;junho;6;25;70
2018;junho;6;26;170
2018;junho;6;27;73
2018;junho;6;28;53
2018;junho;6;29;82
2018;julho;7;2;69
2018;julho;7;3;156
2018;julho;7;4;76
2018;julho;7;5;62
2018;julho;7;6;44
2018;julho;7;7;1
2018;julho;7;8;1
2018;julho;7;9;80
2018;julho;7;10;182
2018;julho;7;11;68
2018;julho;7;12;62
2018;julho;7;13;64
2018;julho;7;15;2
2018;julho;7;16;71
2018;julho;7;17;177
2018;julho;7;18;55
2018;julho;7;19;66
2018;julho;7;20;65
2018;julho;7;21;2
2018;julho;7;23;63
2018;julho;7;24;182
2018;julho;7;25;86
2018;julho;7;26;82
2018;julho;7;27;60
2018;julho;7;28;11
2018;julho;7;30;88
2018;julho;7;31;200
2018;agosto;8;1;17
2018;agosto;8;2;67
2018;agosto;8;3;77
2018;agosto;8;6;81
2018;agosto;8;7;191
2018;agosto;8;8;67
2018;agosto;8;9;69
2018;agosto;8;10;62
2018;agosto;8;12;1
2018;agosto;8;13;77
2018;agosto;8;14;163
2018;agosto;8;15;77
2018;agosto;8;16;45
2018;agosto;8;17;84
2018;agosto;8;18;1
2018;agosto;8;19;1
2018;agosto;8;20;68
2018;agosto;8;21;156
2018;agosto;8;22;79
2018;agosto;8;23;75
2018;agosto;8;24;16
2018;agosto;8;25;1
2018;agosto;8;26;8
2018;agosto;8;27;59
2018;agosto;8;28;168
2018;agosto;8;29;111
2018;agosto;8;30;76
2018;agosto;8;31;79
2018;setembro;9;3;74
2018;setembro;9;4;199
2018;setembro;9;5;68
2018;setembro;9;6;66
2018;setembro;9;8;14
2018;setembro;9;10;84
2018;setembro;9;11;147
2018;setembro;9;12;81
2018;setembro;9;13;86
2018;setembro;9;14;63
2018;setembro;9;17;79
2018;setembro;9;18;188
2018;setembro;9;19;69
2018;setembro;9;20;1
2018;setembro;9;21;53
2018;setembro;9;24;80
2018;setembro;9;25;188
2018;setembro;9;26;86
2018;setembro;9;27;59
2018;setembro;9;28;79
2018;setembro;9;30;2
2018;outubro;10;1;66
2018;outubro;10;2;229
2018;outubro;10;3;64
2018;outubro;10;4;45
2018;outubro;10;5;84
2018;outubro;10;7;3
2018;outubro;10;8;45
2018;outubro;10;9;200
2018;outubro;10;10;169
2018;outubro;10;11;83
2018;outubro;10;12;1
2018;outubro;10;13;2
2018;outubro;10;14;6
2018;outubro;10;15;97
2018;outubro;10;16;171
2018;outubro;10;17;138
2018;outubro;10;18;44
2018;outubro;10;19;63
2018;outubro;10;22;115
2018;outubro;10;23;171
2018;outubro;10;24;85
2018;outubro;10;25;101
2018;outubro;10;26;94
2018;outubro;10;29;135
2018;outubro;10;30;186
2018;outubro;10;31;117
2018;novembro;11;1;89
2018;novembro;11;5;117
2018;novembro;11;6;180
2018;novembro;11;7;115
2018;novembro;11;8;41
2018;novembro;11;9;47
2018;novembro;11;11;8
2018;novembro;11;12;140
2018;novembro;11;13;166
2018;novembro;11;14;80
2018;novembro;11;15;1
2018;novembro;11;16;89
2018;novembro;11;18;8
2018;novembro;11;19;97
2018;novembro;11;20;131
2018;novembro;11;21;149
2018;novembro;11;22;57
2018;novembro;11;23;38
2018;novembro;11;26;118
2018;novembro;11;27;185
2018;novembro;11;28;90
2018;novembro;11;29;50
2018;novembro;11;30;91
2018;dezembro;12;3;81
2018;dezembro;12;4;209
2018;dezembro;12;5;87
2018;dezembro;12;6;46
2018;dezembro;12;7;88
2018;dezembro;12;9;8
2018;dezembro;12;10;111
2018;dezembro;12;11;174
2018;dezembro;12;12;132
2018;dezembro;12;13;85
2018;dezembro;12;14;88
2018;dezembro;12;16;4
2018;dezembro;12;17;135
2018;dezembro;12;18;165
2018;dezembro;12;19;93
2018;dezembro;12;20;117
2018;dezembro;12;21;150
2018;dezembro;12;24;1
2018;dezembro;12;25;4
2018;dezembro;12;26;155
2018;dezembro;12;27;102
2018;dezembro;12;28;115
2019;janeiro;1;2;111
2019;janeiro;1;3;44
2019;janeiro;1;4;55
2019;janeiro;1;6;3
2019;janeiro;1;7;114
2019;janeiro;1;8;171
2019;janeiro;1;9;74
2019;janeiro;1;10;48
2019;janeiro;1;11;93
2019;janeiro;1;14;58
2019;janeiro;1;15;174
2019;janeiro;1;16;119
2019;janeiro;1;17;39
2019;janeiro;1;18;89
2019;janeiro;1;20;3
2019;janeiro;1;21;127
2019;janeiro;1;22;154
2019;janeiro;1;23;107
2019;janeiro;1;24;29
2019;janeiro;1;25;100
2019;janeiro;1;28;61
2019;janeiro;1;29;143
2019;janeiro;1;30;124
2019;janeiro;1;31;62
2019;fevereiro;2;1;76
2019;fevereiro;2;4;38
2019;fevereiro;2;5;197
2019;fevereiro;2;6;136
2019;fevereiro;2;7;64
2019;fevereiro;2;8;127
2019;fevereiro;2;10;1
2019;fevereiro;2;11;43
2019;fevereiro;2;12;169
2019;fevereiro;2;13;132
2019;fevereiro;2;14;62
2019;fevereiro;2;15;88
2019;fevereiro;2;17;1
2019;fevereiro;2;18;101
2019;fevereiro;2;19;177
2019;fevereiro;2;20;122
2019;fevereiro;2;21;51
2019;fevereiro;2;22;116
2019;fevereiro;2;23;2
2019;fevereiro;2;25;79
2019;fevereiro;2;26;166
2019;fevereiro;2;27;102
2019;fevereiro;2;28;57
2019;março;3;1;84
2019;março;3;4;200
2019;março;3;5;138
2019;março;3;6;88
2019;março;3;7;47
2019;março;3;8;117
2019;março;3;10;1
2019;março;3;11;93
2019;março;3;12;165
2019;março;3;13;118
2019;março;3;14;51
2019;março;3;15;304
2019;março;3;17;12
2019;março;3;18;119
2019;março;3;19;194
2019;março;3;20;110
2019;março;3;21;106
2019;março;3;22;98
2019;março;3;24;12
2019;março;3;25;161
2019;março;3;26;181
2019;março;3;27;104
2019;março;3;28;75
2019;março;3;29;120
2019;abril;4;1;72
2019;abril;4;2;218
2019;abril;4;3;119
2019;abril;4;4;73
2019;abril;4;5;81
2019;abril;4;7;6
2019;abril;4;8;150
2019;abril;4;9;164
2019;abril;4;10;107
2019;abril;4;11;86
2019;abril;4;12;102
2019;abril;4;15;138
2019;abril;4;16;217
2019;abril;4;17;126
2019;abril;4;18;118
2019;abril;4;20;1
2019;abril;4;22;159
2019;abril;4;23;193
2019;abril;4;24;114
2019;abril;4;25;87
2019;abril;4;26;123
2019;abril;4;29;159
2019;abril;4;30;160
2019;maio;5;2;81
2019;maio;5;3;103
2019;maio;5;4;1
2019;maio;5;5;8
2019;maio;5;6;102
2019;maio;5;7;192
2019;maio;5;8;167
2019;maio;5;9;123
2019;maio;5;10;120
2019;maio;5;11;1
2019;maio;5;13;183
2019;maio;5;14;165
2019;maio;5;15;147
2019;maio;5;16;548
2019;maio;5;17;102
2019;maio;5;19;3
2019;maio;5;20;164
2019;maio;5;21;177
2019;maio;5;22;409
2019;maio;5;23;283
2019;maio;5;24;76
2019;maio;5;27;132
2019;maio;5;28;180
2019;maio;5;29;99
2019;maio;5;30;86
2019;maio;5;31;99
2019;junho;6;1;3
2019;junho;6;3;113
2019;junho;6;4;152
2019;junho;6;5;135
2019;junho;6;6;298
2019;junho;6;7;108
2019;junho;6;8;1
2019;junho;6;9;2
2019;junho;6;10;116
2019;junho;6;11;180
2019;junho;6;12;93
2019;junho;6;13;101
2019;junho;6;14;104
2019;junho;6;16;7
2019;junho;6;17;183
2019;junho;6;18;175
2019;junho;6;19;223
2019;junho;6;21;77
2019;junho;6;23;1
2019;junho;6;24;137
2019;junho;6;25;222
2019;junho;6;26;62
2019;junho;6;27;77
2019;junho;6;28;14
2019;junho;6;30;2
2019;julho;7;1;144
2019;julho;7;2;251
2019;julho;7;3;79
2019;julho;7;4;74
2019;julho;7;5;82
2019;julho;7;6;1
2019;julho;7;7;1
2019;julho;7;8;122
2019;julho;7;9;150
2019;julho;7;10;132
2019;julho;7;11;70
2019;julho;7;12;65
2019;julho;7;15;162
2019;julho;7;16;168
2019;julho;7;17;74
2019;julho;7;18;54
2019;julho;7;19;65
2019;julho;7;21;1
2019;julho;7;22;121
2019;julho;7;23;156
2019;julho;7;24;128
2019;julho;7;25;54
2019;julho;7;26;71
2019;julho;7;29;151
2019;julho;7;30;142
2019;julho;7;31;142
2019;agosto;8;1;49
2019;agosto;8;2;61
2019;agosto;8;5;94
2019;agosto;8;6;158
2019;agosto;8;7;216
2019;agosto;8;8;52
2019;agosto;8;9;69
2019;agosto;8;10;1
2019;agosto;8;11;1
2019;agosto;8;12;132
2019;agosto;8;13;136
2019;agosto;8;14;121
2019;agosto;8;15;56
2019;agosto;8;16;69
2019;agosto;8;19;118
2019;agosto;8;20;149
2019;agosto;8;21;102
2019;agosto;8;22;33
2019;agosto;8;23;90
2019;agosto;8;25;1
2019;agosto;8;26;120
2019;agosto;8;27;149
2019;agosto;8;28;96
2019;agosto;8;29;47
2019;agosto;8;30;83
2019;setembro;9;1;1
2019;setembro;9;2;101
2019;setembro;9;3;152
2019;setembro;9;4;104
2019;setembro;9;5;44
2019;setembro;9;6;59
2019;setembro;9;9;118
2019;setembro;9;10;150
2019;setembro;9;11;114
2019;setembro;9;12;48
2019;setembro;9;13;60
2019;setembro;9;15;1
2019;setembro;9;16;128
2019;setembro;9;17;168
2019;setembro;9;18;113
2019;setembro;9;19;87
2019;setembro;9;20;2
2019;setembro;9;22;1
2019;setembro;9;23;133
2019;setembro;9;24;179
2019;setembro;9;25;95
2019;setembro;9;26;25
2019;setembro;9;27;56
2019;setembro;9;30;117
2019;outubro;10;1;168
2019;outubro;10;2;112
2019;outubro;10;3;35
2019;outubro;10;4;124
2019;outubro;10;7;158
2019;outubro;10;8;131
2019;outubro;10;9;94
2019;outubro;10;10;48
2019;outubro;10;11;105
2019;outubro;10;14;153
2019;outubro;10;15;163
2019;outubro;10;16;67
2019;outubro;10;17;34
2019;outubro;10;18;96
2019;outubro;10;21;120
2019;outubro;10;22;140
2019;outubro;10;23;69
2019;outubro;10;24;35
2019;outubro;10;25;97
2019;outubro;10;28;115
2019;outubro;10;29;130
2019;outubro;10;30;95
2019;outubro;10;31;35
2019;novembro;11;1;94
2019;novembro;11;4;108
2019;novembro;11;5;168
2019;novembro;11;6;107
2019;novembro;11;7;43
2019;novembro;11;8;102
2019;novembro;11;11;118
2019;novembro;11;12;179
2019;novembro;11;13;109
2019;novembro;11;14;118
2019;novembro;11;16;2
2019;novembro;11;18;126
2019;novembro;11;19;142
2019;novembro;11;20;75
2019;novembro;11;21;44
2019;novembro;11;22;96
2019;novembro;11;24;1
2019;novembro;11;25;53
2019;novembro;11;26;218
2019;novembro;11;27;65
2019;novembro;11;28;39
2019;novembro;11;29;108
2019;dezembro;12;2;113
2019;dezembro;12;3;180
2019;dezembro;12;4;74
2019;dezembro;12;5;73
2019;dezembro;12;6;111
2019;dezembro;12;7;6
2019;dezembro;12;9;116
2019;dezembro;12;10;188
2019;dezembro;12;11;96
2019;dezembro;12;12;39
2019;dezembro;12;13;125
2019;dezembro;12;16;122
2019;dezembro;12;17;191
2019;dezembro;12;18;44
2019;dezembro;12;19;116
2019;dezembro;12;20;54
2019;dezembro;12;22;3
2019;dezembro;12;23;221
2019;dezembro;12;24;41
2019;dezembro;12;26;124
2019;dezembro;12;27;33
2019;dezembro;12;30;100
2019;dezembro;12;31;91
2020;janeiro;1;2;83
2020;janeiro;1;3;40
2020;janeiro;1;4;1
2020;janeiro;1;6;55
2020;janeiro;1;7;251
2020;janeiro;1;8;25
2020;janeiro;1;9;42
2020;janeiro;1;10;107
2020;janeiro;1;11;1
2020;janeiro;1;13;44
2020;janeiro;1;14;213
2020;janeiro;1;15;43
2020;janeiro;1;16;28
2020;janeiro;1;17;107
2020;janeiro;1;18;1
2020;janeiro;1;19;1
2020;janeiro;1;20;86
2020;janeiro;1;21;264
2020;janeiro;1;22;27
2020;janeiro;1;23;35
2020;janeiro;1;24;106
2020;janeiro;1;25;1
2020;janeiro;1;27;95
2020;janeiro;1;28;145
2020;janeiro;1;29;63
2020;janeiro;1;30;42
2020;janeiro;1;31;112
2020;fevereiro;2;3;35
2020;fevereiro;2;4;140
2020;fevereiro;2;5;124
2020;fevereiro;2;6;35
2020;fevereiro;2;7;118
2020;fevereiro;2;8;1
2020;fevereiro;2;10;44
2020;fevereiro;2;11;198
2020;fevereiro;2;12;67
2020;fevereiro;2;13;49
2020;fevereiro;2;14;110
2020;fevereiro;2;15;1
2020;fevereiro;2;17;39
2020;fevereiro;2;18;162
2020;fevereiro;2;19;132
2020;fevereiro;2;20;40
2020;fevereiro;2;21;127
2020;fevereiro;2;24;62
2020;fevereiro;2;25;129
2020;fevereiro;2;26;79
2020;fevereiro;2;27;28
2020;fevereiro;2;28;123
2020;fevereiro;2;29;1
2020;março;3;1;1
2020;março;3;2;94
2020;março;3;3;264
2020;março;3;4;69
2020;março;3;5;33
2020;março;3;6;140
2020;março;3;7;1
2020;março;3;9;52
2020;março;3;10;155
2020;março;3;11;122
2020;março;3;12;43
2020;março;3;13;93
2020;março;3;16;53
2020;março;3;17;161
2020;março;3;18;143
2020;março;3;19;41
2020;março;3;20;108
2020;março;3;23;43
2020;março;3;24;117
2020;março;3;25;103
2020;março;3;26;12
2020;março;3;27;74
2020;março;3;28;1
2020;março;3;29;1
2020;março;3;30;43
2020;março;3;31;113
2020;abril;4;1;86
2020;abril;4;2;15
2020;abril;4;3;71
2020;abril;4;5;2
2020;abril;4;6;87
2020;abril;4;7;129
2020;abril;4;8;73
2020;abril;4;9;120
2020;abril;4;13;104
2020;abril;4;14;158
2020;abril;4;15;84
2020;abril;4;16;44
2020;abril;4;17;100
2020;abril;4;20;122
2020;abril;4;21;25
2020;abril;4;22;116
2020;abril;4;23;24
2020;abril;4;24;112
2020;abril;4;27;56
2020;abril;4;28;137
2020;abril;4;29;144
2020;abril;4;30;118
2020;maio;5;4;57
2020;maio;5;5;135
2020;maio;5;6;132
2020;maio;5;7;31
2020;maio;5;8;115
2020;maio;5;11;68
2020;maio;5;12;143
2020;maio;5;13;119
2020;maio;5;14;17
2020;maio;5;15;108
2020;maio;5;17;1
2020;maio;5;18;49
2020;maio;5;19;121
2020;maio;5;20;86
2020;maio;5;21;18
2020;maio;5;22;86
2020;maio;5;25;60
2020;maio;5;26;184
2020;maio;5;27;109
2020;maio;5;28;13
2020;maio;5;29;108
2020;junho;6;1;51
2020;junho;6;2;155
2020;junho;6;3;109
2020;junho;6;4;21
2020;junho;6;5;116
2020;junho;6;8;108
2020;junho;6;9;153
2020;junho;6;10;99
2020;junho;6;12;104
2020;junho;6;15;60
2020;junho;6;16;135
2020;junho;6;17;116
2020;junho;6;18;20
2020;junho;6;19;86
2020;junho;6;22;46
2020;junho;6;23;144
2020;junho;6;24;116
2020;junho;6;25;10
2020;junho;6;26;92
2020;junho;6;29;61
2020;junho;6;30;153
2020;julho;7;1;113
2020;julho;7;2;26
2020;julho;7;3;109
2020;julho;7;6;63
2020;julho;7;7;151
2020;julho;7;8;132
2020;julho;7;9;31
2020;julho;7;10;100
2020;julho;7;13;64
2020;julho;7;14;150
2020;julho;7;15;117
2020;julho;7;16;8
2020;julho;7;17;90
2020;julho;7;20;99
2020;julho;7;21;98
2020;julho;7;22;136
2020;julho;7;23;10
2020;julho;7;24;117
2020;julho;7;27;74
2020;julho;7;28;131
2020;julho;7;29;128
2020;julho;7;30;22
2020;julho;7;31;133
2020;agosto;8;3;41
2020;agosto;8;4;149
2020;agosto;8;5;182
2020;agosto;8;6;35
2020;agosto;8;7;103
2020;agosto;8;10;66
2020;agosto;8;11;143
2020;agosto;8;12;142
2020;agosto;8;13;11
2020;agosto;8;14;120
2020;agosto;8;15;1
2020;agosto;8;16;1
2020;agosto;8;17;46
2020;agosto;8;18;166
2020;agosto;8;19;111
2020;agosto;8;20;16
2020;agosto;8;21;102
2020;agosto;8;22;2
2020;agosto;8;24;63
2020;agosto;8;25;149
2020;agosto;8;26;113
2020;agosto;8;27;29
2020;agosto;8;28;89
2020;agosto;8;31;103
2020;setembro;9;1;174
2020;setembro;9;2;61
2020;setembro;9;3;46
2020;setembro;9;4;102
2020;setembro;9;6;1
2020;setembro;9;8;249
2020;setembro;9;9;66
2020;setembro;9;10;59
2020;setembro;9;11;126
2020;setembro;9;12;1
2020;setembro;9;14;60
2020;setembro;9;15;185
2020;setembro;9;16;134
2020;setembro;9;17;34
2020;setembro;9;18;86
2020;setembro;9;19;1
2020;setembro;9;21;63
2020;setembro;9;22;146
2020;setembro;9;23;96
2020;setembro;9;24;17
2020;setembro;9;25;107
2020;setembro;9;28;72
2020;setembro;9;29;183
2020;setembro;9;30;121
2020;outubro;10;1;28
2020;outubro;10;2;117
2020;outubro;10;5;70
2020;outubro;10;6;149
2020;outubro;10;7;121
2020;outubro;10;8;30
2020;outubro;10;9;111
2020;outubro;10;10;1
2020;outubro;10;13;210
2020;outubro;10;14;121
2020;outubro;10;15;29
2020;outubro;10;16;104
2020;outubro;10;19;61
2020;outubro;10;20;131
2020;outubro;10;21;103
2020;outubro;10;22;21
2020;outubro;10;23;109
